Name,Owner,Stars,Forks,Last Updated,License,URL
Umi-OCR,hiroi-sora,30645,3082,2025-03-10T14:53:51Z,MIT License,https://github.com/hiroi-sora/Umi-OCR
manim,ManimCommunity,30551,2135,2025-03-11T16:59:35Z,MIT License,https://github.com/ManimCommunity/manim
mmdetection,open-mmlab,30500,9581,2024-08-21T02:01:07Z,Apache License 2.0,https://github.com/open-mmlab/mmdetection
linux-insides,0xAX,30415,3384,2024-11-23T18:42:33Z,Other,https://github.com/0xAX/linux-insides
interactive-coding-challenges,donnemartin,30018,4509,2024-05-08T23:07:36Z,Other,https://github.com/donnemartin/interactive-coding-challenges
Real-ESRGAN,xinntao,30002,3750,2024-08-06T13:15:18Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/xinntao/Real-ESRGAN
stanford_alpaca,tatsu-lab,29876,4054,2024-07-17T09:43:05Z,Apache License 2.0,https://github.com/tatsu-lab/stanford_alpaca
roop,s0md3v,29443,6659,2024-08-19T12:57:17Z,GNU General Public License v3.0,https://github.com/s0md3v/roop
tqdm,tqdm,29441,1373,2025-02-05T17:46:50Z,Other,https://github.com/tqdm/tqdm
pytorch-lightning,Lightning-AI,29111,3450,2025-03-12T18:49:53Z,Apache License 2.0,https://github.com/Lightning-AI/pytorch-lightning
aider,Aider-AI,29081,2638,2025-03-12T02:12:37Z,Apache License 2.0,https://github.com/Aider-AI/aider
CheatSheetSeries,OWASP,29054,4062,2025-03-11T20:37:56Z,Creative Commons Attribution Share Alike 4.0 International,https://github.com/OWASP/CheatSheetSeries
numpy,numpy,28997,10566,2025-03-12T19:05:26Z,Other,https://github.com/numpy/numpy
Hello-Python,mouredev,28908,1875,2025-02-28T12:39:35Z,Apache License 2.0,https://github.com/mouredev/Hello-Python
django-rest-framework,encode,28899,6906,2025-03-08T09:53:16Z,Other,https://github.com/encode/django-rest-framework
llama3,meta-llama,28494,3315,2025-01-26T21:39:06Z,Other,https://github.com/meta-llama/llama3
tinygrad,tinygrad,28333,3244,2025-03-12T17:55:00Z,MIT License,https://github.com/tinygrad/tinygrad
crewAI,crewAIInc,28260,3829,2025-03-12T17:05:02Z,MIT License,https://github.com/crewAIInc/crewAI
GPT_API_free,chatanywhere,28160,2063,2025-02-14T15:37:37Z,MIT License,https://github.com/chatanywhere/GPT_API_free
MinerU,opendatalab,28011,2161,2025-03-12T10:03:26Z,GNU Affero General Public License v3.0,https://github.com/opendatalab/MinerU
vnpy,vnpy,28008,9238,2025-02-12T12:54:44Z,MIT License,https://github.com/vnpy/vnpy
data-science-ipython-notebooks,donnemartin,27980,7946,2024-03-20T13:52:34Z,Other,https://github.com/donnemartin/data-science-ipython-notebooks
diffusers,huggingface,27980,5749,2025-03-12T19:37:06Z,Apache License 2.0,https://github.com/huggingface/diffusers
glances,nicolargo,27949,1554,2025-03-09T15:43:43Z,Other,https://github.com/nicolargo/glances
DeepFaceLive,iperov,27811,336,2024-11-08T03:07:42Z,GNU General Public License v3.0,https://github.com/iperov/DeepFaceLive
Retrieval-based-Voice-Conversion-WebUI,RVC-Project,27766,3937,2024-11-24T15:09:44Z,MIT License,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI
textual,Textualize,27724,855,2025-03-12T18:28:52Z,MIT License,https://github.com/Textualize/textual
hosts,StevenBlack,27676,2283,2025-03-09T05:03:08Z,MIT License,https://github.com/StevenBlack/hosts
Jobs_Applier_AI_Agent_AIHawk,feder-cr,27550,4119,2025-02-02T13:05:02Z,GNU Affero General Public License v3.0,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
python-fire,google,27458,1447,2025-03-01T08:07:08Z,Other,https://github.com/google/python-fire
mindsdb,mindsdb,27312,4914,2025-03-12T19:11:54Z,Other,https://github.com/mindsdb/mindsdb
python-telegram-bot,python-telegram-bot,27121,5533,2025-03-09T15:02:24Z,GNU General Public License v3.0,https://github.com/python-telegram-bot/python-telegram-bot
redash,getredash,27051,4435,2025-03-10T10:10:35Z,"BSD 2-Clause ""Simplified"" License",https://github.com/getredash/redash
kitty,kovidgoyal,26655,1051,2025-03-12T11:19:22Z,GNU General Public License v3.0,https://github.com/kovidgoyal/kitty
khoj,khoj-ai,26613,1450,2025-03-11T18:52:15Z,GNU Affero General Public License v3.0,https://github.com/khoj-ai/khoj
cascadia-code,microsoft,26562,819,2025-03-06T03:26:32Z,Other,https://github.com/microsoft/cascadia-code
spleeter,deezer,26505,2892,2025-01-24T14:14:40Z,MIT License,https://github.com/deezer/spleeter
ChatDev,OpenBMB,26436,3357,2024-12-30T06:37:25Z,Apache License 2.0,https://github.com/OpenBMB/ChatDev
exo,exo-explore,26408,1600,2025-03-12T06:24:57Z,GNU General Public License v3.0,https://github.com/exo-explore/exo
jumpserver,jumpserver,26210,5415,2025-03-12T11:05:26Z,GNU General Public License v3.0,https://github.com/jumpserver/jumpserver
supervision,roboflow,26157,1975,2025-03-10T17:27:49Z,MIT License,https://github.com/roboflow/supervision
mem0,mem0ai,25963,2447,2025-03-12T15:53:27Z,Apache License 2.0,https://github.com/mem0ai/mem0
EasyOCR,JaidedAI,25887,3270,2024-09-24T11:24:36Z,Apache License 2.0,https://github.com/JaidedAI/EasyOCR
celery,celery,25782,4745,2025-03-12T09:21:23Z,Other,https://github.com/celery/celery
locust,locustio,25760,3035,2025-03-10T08:11:05Z,MIT License,https://github.com/locustio/locust
paperless-ngx,paperless-ngx,25657,1498,2025-03-12T12:13:03Z,GNU General Public License v3.0,https://github.com/paperless-ngx/paperless-ngx
MiniGPT-4,Vision-CAIR,25604,2925,2024-09-02T09:07:21Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/Vision-CAIR/MiniGPT-4
YouCompleteMe,ycm-core,25577,2797,2025-03-12T17:29:50Z,GNU General Public License v3.0,https://github.com/ycm-core/YouCompleteMe
wttr.in,chubin,25533,1125,2025-03-04T18:27:01Z,Apache License 2.0,https://github.com/chubin/wttr.in
generative-models,Stability-AI,25486,2828,2024-09-04T22:00:56Z,MIT License,https://github.com/Stability-AI/generative-models
d2l-en,d2l-ai,25217,4551,2024-08-18T08:02:36Z,Other,https://github.com/d2l-ai/d2l-en
MoneyPrinterTurbo,harry0703,25160,3674,2025-02-10T03:08:23Z,MIT License,https://github.com/harry0703/MoneyPrinterTurbo
openai-python,openai,25052,3657,2025-03-12T19:40:04Z,Apache License 2.0,https://github.com/openai/openai-python
pipenv,pypa,25003,1877,2025-03-10T08:22:52Z,MIT License,https://github.com/pypa/pipenv
Mask_RCNN,matterport,24985,11724,2024-06-07T02:36:21Z,Other,https://github.com/matterport/Mask_RCNN
GitHub520,521xueweihan,24919,2435,2025-03-12T18:07:51Z,N/A,https://github.com/521xueweihan/GitHub520
posthog,PostHog,24887,1540,2025-03-12T19:37:37Z,Other,https://github.com/PostHog/posthog
insightface,deepinsight,24530,5509,2025-03-10T08:57:02Z,N/A,https://github.com/deepinsight/insightface
PythonRobotics,AtsushiSakai,24457,6695,2025-03-12T12:27:14Z,Other,https://github.com/AtsushiSakai/PythonRobotics
algorithms,keon,24384,4653,2024-07-14T17:48:07Z,MIT License,https://github.com/keon/algorithms
Genesis,Genesis-Embodied-AI,24329,2109,2025-03-12T03:10:13Z,Apache License 2.0,https://github.com/Genesis-Embodied-AI/Genesis
Hitomi-Downloader,KurtBestor,24251,2222,2025-02-01T09:43:19Z,N/A,https://github.com/KurtBestor/Hitomi-Downloader
deep-learning-for-image-processing,WZMIAOMIAO,24209,8124,2025-01-12T03:36:29Z,GNU General Public License v3.0,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing
composio,ComposioHQ,24123,4358,2025-03-12T17:35:43Z,Other,https://github.com/ComposioHQ/composio
JARVIS,microsoft,24004,1998,2024-09-26T06:43:22Z,MIT License,https://github.com/microsoft/JARVIS
erpnext,frappe,23986,7941,2025-03-12T17:08:07Z,GNU General Public License v3.0,https://github.com/frappe/erpnext
docling,DS4SD,23816,1381,2025-03-12T19:04:26Z,MIT License,https://github.com/DS4SD/docling
pytorch-CycleGAN-and-pix2pix,junyanz,23695,6397,2024-05-14T21:56:57Z,Other,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix
Open-Sora,hpcaitech,23532,2331,2025-03-12T14:11:15Z,Apache License 2.0,https://github.com/hpcaitech/Open-Sora
pathway,pathwaycom,23476,339,2025-03-12T17:20:46Z,Other,https://github.com/pathwaycom/pathway
